Company,Date,Open,High,Low,Close,Adj Close,Volume,PctChange
CSCO,2/7/18,40.310001,41.209999,40.029999,40.34,40.34,32690800,-3.261393207
CSCO,2/8/18,40.439999,40.759998,38.720001,38.77,38.77,42982100,-7.026381126
CSCO,2/9/18,39,39.919998,38.23,39.529999,39.529999,51304200,-5.203841602
CSCO,2/12/18,40.52,40.91,40.23,40.599998,40.599998,38210700,-2.637896819
CSCO,2/13/18,40.5,41.310001,40.220001,41.23,41.23,30999100,-1.127100692
CSCO,2/14/18,41.040001,42.259998,40.990002,42.09,42.09,43835900,0.935249378
CSCO,2/15/18,45.07,45.130001,43.259998,44.080002,44.080002,72267500,5.707436314
CSCO,2/16/18,43.889999,45.09,43.790001,44.330002,44.330002,39267500,6.306956683
CSCO,2/20/18,44,44.689999,43.810001,44.060001,44.060001,29006900,5.659472286
CSCO,2/21/18,44.110001,44.419998,43.279999,43.310001,43.310001,28499200,3.860911178
CSCO,2/22/18,43.490002,43.560001,42.75,42.939999,42.939999,25887600,2.973616236
CSCO,2/23/18,43.369999,44.040001,42.919998,44,44,25781400,5.515585
CSCO,2/26/18,44.299999,45.450001,44.130001,45.360001,45.360001,27771100,8.776978207
CSCO,2/27/18,45.41,45.610001,44.619999,45.040001,45.040001,27419300,8.009592134
CSCO,2/28/18,45.27,45.889999,44.779999,44.779999,44.779999,26885200,7.386086154
DWDP,2/1/18,74.68,76,73.43,73.5,73.122879,13258400,0
DWDP,2/2/18,73.059998,73.290001,70.639999,70.889999,70.526268,12794600,-3.551021769
DWDP,2/5/18,70.190002,71.870003,67.029999,67.839996,67.491913,19108800,-7.700685714
DWDP,2/6/18,66.629997,71.949997,66.190002,71.889999,71.521133,23151900,-2.190477551
DWDP,2/7/18,70.959999,72.139999,70.519997,70.599998,70.237755,11215100,-3.945580952
DWDP,2/8/18,70.669998,71.480003,68.120003,68.209999,67.860016,13079300,-7.197280272
DWDP,2/9/18,68.860001,70.220001,67.239998,69.480003,69.123505,13137500,-5.469383673
DWDP,2/12/18,70.199997,72.050003,70.169998,71.839996,71.47139,10242500,-2.258508844
